id,tipo,titulo,descricao,autor,data,duracao,origem,rito,grau,ordem,tags,url,youtube_id,thumbnail,transcricao_status,acesso,perguntas_aprofundamento,publicado_por,publicado_em,anexos
video-Uwz1uAGYgDk,video,O Pioneirismo na Maçonaria de Minas Gerais,,Geraldo Ribeiro da Fonseca,2025-05-28,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=Uwz1uAGYgDk,Uwz1uAGYgDk,https://img.youtube.com/vi/Uwz1uAGYgDk/hqdefault.jpg,pendente,,,,,
video-RONmmVHZdds,video,A Cabala no Templo Adonhiramita,,Sérgio Emilião,2025-06-04,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=RONmmVHZdds,RONmmVHZdds,https://img.youtube.com/vi/RONmmVHZdds/hqdefault.jpg,pendente,,,,,
video-vmweHHQyI3c,video,"Sério Ouro 2 (FRANCISCO RORATO, JOSÉ DE SOUZA MARQUES, XICO TROLHA)",,,2025-06-18,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=vmweHHQyI3c,vmweHHQyI3c,https://img.youtube.com/vi/vmweHHQyI3c/hqdefault.jpg,pendente,,,,,
video-B_X-pXOUUx8,video,"São João, o Patrono da Maçonaria",,Sérgio Emilião,2025-06-25,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=B_X-pXOUUx8,B_X-pXOUUx8,https://img.youtube.com/vi/B_X-pXOUUx8/hqdefault.jpg,pendente,,,,,
video-V79X1rhraMM,video,Dos Modernos aos Antigos e a Grande Loja Unida da Inglaterra,,Rubens Caldeira Monteiro,2025-07-02,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=V79X1rhraMM,V79X1rhraMM,https://img.youtube.com/vi/V79X1rhraMM/hqdefault.jpg,pendente,,,,,
video-cfmctlkazYo,video,Alexandre de Gusmão e o Tratado de Madrid,,Miguel José Nuske,2025-07-09,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=cfmctlkazYo,cfmctlkazYo,https://img.youtube.com/vi/cfmctlkazYo/hqdefault.jpg,pendente,,,,,
video--eMbLZzeejw,video,Maçonaria: uma reflexão necessária,,Fuad Haddad,2025-07-16,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=-eMbLZzeejw,-eMbLZzeejw,https://img.youtube.com/vi/-eMbLZzeejw/hqdefault.jpg,pendente,,,,,
video-6tfVXdFcKuM,video,Spinoza não é para ser lido é para ser estudado,,Roberto Zardo,2025-07-23,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=6tfVXdFcKuM,6tfVXdFcKuM,https://img.youtube.com/vi/6tfVXdFcKuM/hqdefault.jpg,pendente,,,,,
video-HjWLHHol9HE,video,Inteligência Artificial na Maçonaria,,Marcelo Augusto Corsini,2025-07-30,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=HjWLHHol9HE,HjWLHHol9HE,https://img.youtube.com/vi/HjWLHHol9HE/hqdefault.jpg,pendente,,,,,
video-lLmlcE8-W_0,video,https://youtu.be/lLmlcE8-W_0 Qual o Segredo das Pirâmides do Egito?,,Miguel José Nuske,2025-08-06,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=lLmlcE8-W_0,lLmlcE8-W_0,https://img.youtube.com/vi/lLmlcE8-W_0/hqdefault.jpg,pendente,,,,,
