id,tipo,titulo,descricao,autor,data,origem,rito,grau,ordem,tags,url,youtube_id,thumbnail,transcricao_status,acesso,perguntas_aprofundamento,publicado_por,publicado_em,anexos
video-u043,video,A Tolerância na Maçonaria,Sessão de estudos do Grupo de Estudos Urânia.,,2025-08-30,Grupo de Estudos Urânia,,,,instrumentos,https://www.youtube.com/watch?v=hvwnooOen5k,hvwnooOen5k,https://img.youtube.com/vi/hvwnooOen5k/hqdefault.jpg,pendente,publico,,Rogério,,
video-u044,video,VITRIOL: A Jornada Maçônica de Autoconhecimento e Transformação Interior,Sessão de estudos do Grupo de Estudos Urânia.,,,Grupo de Estudos Urânia,,,,instrumentos; iniciação,https://www.youtube.com/watch?v=AxD70ztJwZk,AxD70ztJwZk,https://img.youtube.com/vi/AxD70ztJwZk/hqdefault.jpg,pendente,publico,,Rogério,,
video-u045,video,A Egrégora Maçônica: Entre o Simbolismo Iniciático e o Ceticismo Racional,Sessão de estudos do Grupo de Estudos Urânia.,,,Grupo de Estudos Urânia,,,,simbolismo; instrumentos,https://www.youtube.com/watch?v=5sKInIrVxiM,5sKInIrVxiM,https://img.youtube.com/vi/5sKInIrVxiM/hqdefault.jpg,pendente,publico,,Rogério,,
video-u046,video,"Quebrando Paradigmas, os Landmarks e o Futuro da Maçonaria",Sessão de estudos do Grupo de Estudos Urânia.,Oduwaldo Álvaro,2025-08-02,Grupo de Estudos Urânia,,,,landmarks; instrumentos,https://www.youtube.com/watch?v=uhaZ2PW6EvA,uhaZ2PW6EvA,https://img.youtube.com/vi/uhaZ2PW6EvA/hqdefault.jpg,pendente,publico,,Rogério,,
video-u047,video,A Palavra Sagrada do Grau de Aprendiz do REAA: da pronúncia ao significado,Sessão de estudos do Grupo de Estudos Urânia.,,2025-07-26,Grupo de Estudos Urânia,,,,REAA; grau de aprendiz,https://www.youtube.com/watch?v=PlEsf3eZY4U,PlEsf3eZY4U,https://img.youtube.com/vi/PlEsf3eZY4U/hqdefault.jpg,pendente,publico,,Rogério,,
video-u048,video,No Tempo das Cruzadas,Sessão de estudos do Grupo de Estudos Urânia.,Márcio Silva,2025-07-19,Grupo de Estudos Urânia,,,,história,https://www.youtube.com/watch?v=ZFbColvnCq8,ZFbColvnCq8,https://img.youtube.com/vi/ZFbColvnCq8/hqdefault.jpg,pendente,publico,,Rogério,,
video-u049,video,Por que o Maçom não estuda?,Sessão de estudos do Grupo de Estudos Urânia.,,2025-07-05,Grupo de Estudos Urânia,,,,instrumentos,https://www.youtube.com/watch?v=hQhCQCZ8n8o,hQhCQCZ8n8o,https://img.youtube.com/vi/hQhCQCZ8n8o/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1fyGmL7NjDCKwdF77F_e1SXPdJUnJThIq/view
video-u050,video,O comportamento esperado do Visitante de Rito Diverso,Sessão de estudos do Grupo de Estudos Urânia.,,2025-06-28,Grupo de Estudos Urânia,,,,rito,https://www.youtube.com/watch?v=Rzw3SSbpxbo,Rzw3SSbpxbo,https://img.youtube.com/vi/Rzw3SSbpxbo/hqdefault.jpg,pendente,publico,,Rogério,,
video-u051,video,As Frases na Câmara de Reflexões,Sessão de estudos do Grupo de Estudos Urânia.,,2025-05-10,Grupo de Estudos Urânia,,,,iniciação,https://www.youtube.com/watch?v=725aTz-6jp0,725aTz-6jp0,https://img.youtube.com/vi/725aTz-6jp0/hqdefault.jpg,pendente,publico,,Rogério,,
video-u052,video,Uma Visão da Iniciação,Sessão de estudos do Grupo de Estudos Urânia.,Márcio Silva,2025-05-03,Grupo de Estudos Urânia,,,,iniciação,https://www.youtube.com/watch?v=Uvud3P4KMec,Uvud3P4KMec,https://img.youtube.com/vi/Uvud3P4KMec/hqdefault.jpg,pendente,publico,,Rogério,,
video-u053,video,Premissas básicas para convite e admissão de candidatos à Ordem,Sessão de estudos do Grupo de Estudos Urânia.,,2025-04-05,Grupo de Estudos Urânia,,,,estudo maçônico,https://www.youtube.com/watch?v=Qt3MN6Nor84,Qt3MN6Nor84,https://img.youtube.com/vi/Qt3MN6Nor84/hqdefault.jpg,pendente,publico,,Rogério,,
video-u054,video,Sindicância: Objetivos e Consequências,Sessão de estudos do Grupo de Estudos Urânia.,Ronaldo Fernandes,2025-03-29,Grupo de Estudos Urânia,,,,estudo maçônico,https://www.youtube.com/watch?v=0a_8lGK0DuU,0a_8lGK0DuU,https://img.youtube.com/vi/0a_8lGK0DuU/hqdefault.jpg,pendente,publico,,Rogério,,
video-u055,video,O Crescimento da Maçonaria e sua Influência na Evolução Social e Comercial da Europa,Sessão de estudos do Grupo de Estudos Urânia.,Erivelto Sousa,2025-02-22,Grupo de Estudos Urânia,,,,instrumentos,https://www.youtube.com/watch?v=oNkeLmTUlTw,oNkeLmTUlTw,https://img.youtube.com/vi/oNkeLmTUlTw/hqdefault.jpg,pendente,publico,,Rogério,,
video-u056,video,O Painel do Mestre Maçom: O Renascer além do Túmulo,Sessão de estudos do Grupo de Estudos Urânia.,Fuad Haddad,2025-02-08,Grupo de Estudos Urânia,,,,grau de mestre; instrumentos,https://www.youtube.com/watch?v=HNWF_92hPEw,HNWF_92hPEw,https://img.youtube.com/vi/HNWF_92hPEw/hqdefault.jpg,pendente,publico,,Rogério,,
